C,Si,Mn,P,S,Cr,V,N,Ac1,Ac3,Mean extraction temperature,Roughing opening temperature,Roughing final temperature,intermediate billet thickness,Finishing opening temperature,Finishing rolling temperature,Cooling outlet temperature,Cooling rate,1,2,YS
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1194,1184,1128,131.98,874,839,558,11,0.47208,0.550765267,571
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1164,1111,131.97,873,832,559,11,0.47212,0.550731227,584
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1164,1111,131.97,873,832,559,11,0.47212,0.550731227,584
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1164,1111,131.97,873,838,559,11,0.47212,0.550731227,584
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1164,1111,131.97,873,838,559,11,0.47212,0.550731227,584
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,828,558,10,0.47212,0.550731227,568
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,828,558,10,0.47212,0.550731227,563
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,828,558,10,0.47212,0.550731227,563
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,828,558,10,0.47212,0.550731227,568
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,828,558,10,0.47212,0.550731227,563
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,833,558,10,0.47212,0.550731227,568
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,833,558,10,0.47212,0.550731227,563
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,833,558,10,0.47212,0.550731227,563
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,833,558,10,0.47212,0.550731227,568
0.083,0.18,1.62,0.01,0.01,0.23,0.092,0.0112,721.725,882.406,1189,1161,1108,131.97,868,833,558,10,0.47212,0.550731227,563
